城市shapefile,City,Lat,Long,tarl_2011,trev_2011,dmarl_2011,dmrev_2011,inarl_2011,inrev_2011,CPIpy_2011,CPI11_2011,hprice_2011,emphotel_2011,GDP_2011,GDPpc_2011,slry_2011,pop_2011,area_2011,road_2011,terti_2011,invest_2011,forncap_2011,bus_2011,taxi_2011,hotel_2011,spot5A_2011,scenum_2011,subnum_2011,grnld_2011,tarl_2012,trev_2012,dmarl_2012,dmrev_2012,inarl_2012,inrev_2012,CPIpy_2012,CPI11_2012,hprice_2012,emphotel_2012,GDP_2012,GDPpc_2012,slry_2012,pop_2012,area_2012,road_2012,terti_2012,invest_2012,forncap_2012,bus_2012,taxi_2012,hotel_2012,spot5A_2012,scenum_2012,subnum_2012,grnld_2012,tarl_2013,trev_2013,dmarl_2013,dmrev_2013,inarl_2013,inrev_2013,CPIpy_2013,CPI11_2013,hprice_2013,emphotel_2013,GDP_2013,GDPpc_2013,slry_2013,pop_2013,area_2013,road_2013,terti_2013,invest_2013,forncap_2013,bus_2013,taxi_2013,hotel_2013,spot5A_2013,scenum_2013,subnum_2013,grnld_2013,tarl_2014,trev_2014,dmarl_2014,dmrev_2014,inarl_2014,inrev_2014,CPIpy_2014,CPI11_2014,hprice_2014,emphotel_2014,GDP_2014,GDPpc_2014,slry_2014,pop_2014,area_2014,road_2014,terti_2014,invest_2014,forncap_2014,bus_2014,taxi_2014,hotel_2014,spot5A_2014,scenum_2014,subnum_2014,grnld_2014,tarl_2015,trev_2015,dmarl_2015,dmrev_2015,inarl_2015,inrev_2015,CPIpy_2015,CPI11_2015,hprice_2015,emphotel_2015,GDP_2015,GDPpc_2015,slry_2015,pop_2015,area_2015,road_2015,terti_2015,invest_2015,forncap_2015,bus_2015,taxi_2015,hotel_2015,spot5A_2015,scenum_2015,subnum_2015,grnld_2015,tarl_2016,trev_2016,dmarl_2016,dmrev_2016,inarl_2016,inrev_2016,CPIpy_2016,CPI11_2016,hprice_2016,emphotel_2016,GDP_2016,GDPpc_2016,slry_2016,pop_2016,area_2016,road_2016,terti_2016,invest_2016,forncap_2016,bus_2016,taxi_2016,hotel_2016,spot5A_2016,scenum_2016,subnum_2016,grnld_2016,tarl_2017,trev_2017,dmarl_2017,dmrev_2017,inarl_2017,inrev_2017,CPIpy_2017,CPI11_2017,hprice_2017,emphotel_2017,GDP_2017,GDPpc_2017,slry_2017,pop_2017,area_2017,road_2017,terti_2017,invest_2017,forncap_2017,bus_2017,taxi_2017,hotel_2017,spot5A_2017,scenum_2017,subnum_2017,grnld_2017,tarl_2018,trev_2018,dmarl_2018,dmrev_2018,inarl_2018,inrev_2018,CPIpy_2018,CPI11_2018,hprice_2018,emphotel_2018,GDP_2018,GDPpc_2018,slry_2018,pop_2018,area_2018,road_2018,terti_2018,invest_2018,forncap_2018,bus_2018,taxi_2018,hotel_2018,spot5A_2018,scenum_2018,subnum_2018,grnld_2018,tarl_2019,trev_2019,dmarl_2019,dmrev_2019,inarl_2019,inrev_2019,CPIpy_2019,CPI11_2019,hprice_2019,emphotel_2019,GDP_2019,GDPpc_2019,slry_2019,pop_2019,area_2019,road_2019,terti_2019,invest_2019,forncap_2019,bus_2019,taxi_2019,hotel_2019,spot5A_2019,scenum_2019,subnum_2019,grnld_2019
抚州市,Fuzhou,27.9548922534195,116.364538768643,8718.799999999999,5926.011188,8660,5800,58.8,19.51,100,1,3490.313559,.11,7425067,18907,26341.33,389.328,18820,963.3599999999999,28.28,5539033,17630,258,329,15,0,0,0,2391,10228.1,6945.780874999999,10160,6800,68.09999999999999,23.094,102.4,1.024,3495.09154078,.14,8250400.000000001,20892.91,32637.89,385.9613,18820,1000.67,28.74,6614052,19625,277,329,25,0,0,0,2408,12220.8,10152.37191892,12150,10000,70.8,24.6031,101.8,1.042432,3914.39843006,.2,9406400,23780,40311.67,382.7994,18799,1060.2,30.63,7940981,22089,315,409,26,0,0,0,2508,16356.1,13437.7094894,16284.5,13283,71.59999999999999,25.1855,103.2,1.075789824,4325.290441,.1936,10367713,26119,45646.24,379.6763,18799,1117,31.65,9572481,25104,300,409,32,0,0,0,2519,21047.737,18650.92954348,20996.3,18505,51.437,23.4297,100.9,1.085471932416,4396.631631,.1659,11051377,27735,49522,376.7117,18799,1152.28,33.84,10996711,39162,320,409,31,0,0,0,2525,26388.805,26239.04293205,26335.2,26099,53.605,21.0835,101.5,1.10175401140224,4515.188822,.1641,12157898.33,30381,54607,373.8761,18799,1202.81,34.9,12513001,42608,336,429,30,0,0,0,2532,38995.39999999999,36265.98451106,38938.7,36128,56.7,20.4367,101.6,1.119382075584676,4791.763163,.1598,13545700,33688,59542,371.1991,18799,1682.14,41.95,14014109,35309,943,1028,30,1,0,0,3850,45541.7,45906.09484512,45450.8,45705,90.90000000000001,30.3888,102.10010036,1.142890222583805,5601.128887,.0719,13824000,34226,62764,368.1047,18799,1829.53,44.64,,38504,683,531,30,1,0,0,4162,53677.8,55983.7059504,53580.5,55716,97.3,38.8064,102.61210527,1.172743718318231,6271.92337578,.0737,15109200,37272,67544,364.7098,18799,1944.26,47.77,,41192,636,531,30,1,0,0,4561
抚顺市,Fushun,41.8859695930569,123.964374615614,23485.539,23355.358864,23347,22660,138.539,108.28,100,1,3987.14385,.11,11133679,52245,36190.77470228,,11272,1313,33.18,7953128,20826,1237,4121,23,0,0,0,4804,26551.685,27746.48875,26382.11,26927,169.685,129.81913455,102.84923018,1.0284923018,4069.98876062,.12,12363686,58512,38756.81226848,210.2,11272,1337.28,33.53,9535233,12635,1277,4121,19,0,0,0,4951,30076.307,33636.597636,29875.607,32700.75036151,200.307,151.23381266,102.54992548,1.054718089063437,4494.02682084,.2,13404500,63922,42527.30548655,209.2,11272,1385.88,33.65,10963568,52108,1231,4121,19,0,0,0,5046,37172.03,39684.998784,37025,38935.33905,147.03,121.28028525,101.41242858,1.069615228791798,5033.17559863,.1856,12765826,61183,45233.44070963,208.1,11272,1396,38.41,9199862,35731,1188,4977,21,0,0,0,5130,26971.152,22360.985912,26822.05633,21604.702,149.152,122.18,100.70473917,1.077153226277379,4093.725049,.1364,12164773,58597,50225,207.1,11272,1403,43.07,5973980,2606,1188,4977,21,0,0,0,5162,30489.321,25502.678728,30335.74571,24669.62425,153.321,125.35668,101.78124125,1.096339923869538,4217.509202,.0963,8650721,41741,52708,207.1,11272,1416,42.88,1571218,16,1188,4121,23,0,0,0,5200,34739.235,28494.162882,34583,27630,156.235,127.989,101.5681723,1.113532422869501,4219.33415,.0824,9499000,45934,56941,206.5,11271,1563.93,40.5,1920498,2831,1121,4121,21,0,0,0,5236,39879.173,32799.01242,39720,31950,159.173,128.298,102.43806357,1.14068105121162,4735.602176,.0652,10488000,50951,63156,205.2,11271,1581.24,39.94,,1033,1096,4197,21,0,0,0,5264,45852.356,37771.222865,45690.4,36860,162.356,132.085,102.43224616,1.168425222277563,5105.99077589,.0588,8471000,41382,66686,204.2,11271,1616.88,44.01,,3040,1007,4106,21,0,0,0,5361
拉萨市,Lasa,29.652491,91.172112,5144.293,5110.83,5028.358,4813.96,115.935,42.27,100,1,3487.012987,2.34,2220900,39176,55740.26,57.88,29539,366,61.7,2205031,6500,325,1160,89,0,1,0,2020,6508.329,6548.08,6448.372,6404.98,59.957,24.58,103.2,1.032,3010.86956522,2.73,2600400,45019,,59.47000000000001,29518,366,60.99,2775041,12392,355,1160,,0,1,0,2020,7989.444000000001,8216,7907.057,8016,82.387,34.56,103.4,1.067088,3953.48837209,3.32,3048700,50812,68640.66,61.21,29518,644,60.87,3302334,,317,11604,,2,1,0,2082,9257.432000000001,11167,9156.361000000001,10929,101.071,47.93,103,1.09910064,5569.428051666809,3.39,3474500,56617,72468.02,65.59999999999999,29518,708,59.51,4553866,,338,1360,,2,1,0,2554,11790.263,15493,11672.059,15210,118.204,63.52,102.2,1.12328085408,3878.413377806055,3.7746,3767300,59223,114582,69.59,29518,931,58.92,4999117,,486,1668,,2,1,0,2946,13666.386,18649,13524.336,18211,142.05,76.31999999999999,101.8,1.14349990945344,5212.297257144029,4.2566,4249500,64804,111009,74.42999999999999,29518,965,58.13,5822745,,522,1668,,2,1,0,2946,16066.059,22741,15902.961,22176,163.098,96.90000000000001,101.4,1.159508908185788,6743.385659502856,1.0154,4792560.685000001,70776,111092,78.78,29518,966,65.28,6117257,,552,1670,,2,1,0,3218,19902,28276,19690.9,27448.47163084,211.1,125.0534,101.1,1.172263506175832,7545.836616758603,1.0762,5671000,77688,126936,80.89,29654,966,54.15,,,522,1670,,2,1,0,3427,23772.1,34868,23124.9,33806.52435575,247.2,153.8705,102.2,1.1980533033117,6922.994018429703,.3441,6178844.439,86750,127057,83.78999999999999,29518,1001.04,58.52,,,548,1670,,2,1,0,3433
揭阳市,Jieyang,23.5557404882755,116.378512180338,4403.069,6478.035773159999,4322.983,6305,80.086,26.7907,100,1,2629.213962,.12,11633831.94,20780,26929.22,591.54,5266,418,29.55,4802034,17086,218,712,11,0,0,0,2815,5436.686,8618.61699375,5355,8507,81.68600000000001,17.6819,102.56761,1.0256761,3293.71808711,.22,13061703.21,22314.53793916,30752,595.5899999999999,5265,484.9999999999999,28.44,6635126,19000,312,1059,13,0,0,0,3096,8154.700000000001,11552.64369604,8096.268,11422,58.432,21.0947,102.4953,1.0512697957233,3457.23199134,.48,14653581.177,25099.48473373,41932,599.47,5265.38,754,27.23,8293908,22071,274,513,15,0,0,0,3786,11161.6,15501.66972,11095.3,15318,66.3,29.9,102.46781,1.077213136869139,3444.565012,.4599,16047340.91,27557.59876088,43621.3,603.54,5265.38,763,29.5,10938001,23888,261,544,15,0,0,0,3946,14069.642,20697.35688,14017.357,20584,52.285,18.2,101.1,1.0890624813747,3826.76613465,.4632,16643930.28,28692.47393463,44878,605.89,5265.3815,1262.83,31.52,13620998,3929,375,553,15,0,0,0,3931,16812.252,24841.095806,16778.345,24740,33.907,15.22,101.46237879,1.104988700112171,4769.251374,.4309,18042585.9,31238.78646744,48156,609.4,5265.38,1249,34.88,14855429,3072,578,554,15,0,0,0,6051,19339.1,29221.119956,19284.2,29090,54.9,19.42,101.52243786,1.121811466431401,5336.523326,.3149,18426740.92,32124.1626192,50598,608.6,5265.84,1229.74,35.49,16673100,1680,610,190,10,0,0,0,6297,21897.375,33009.23735804,21834.936,32840,62.439,25.5746,101.51365486,1.138791820213077,6133.163136,.2788,20020949,35234.81252695,54855,608.9399999999999,5265.84,1493,40.19,,1611,610,70,10,0,0,0,6335,23544.991,36274.858585,23475.232,36043,69.759,33.61,102.9,1.171816782999257,6736.809549,.1819,20999093.975,37191.88114979,65614,610.5,5265.84,1731,52.15,,1779,540,102,10,0,0,0,6690
攀枝花市,Panzhihua,26.588033173333,101.725541170914,7554.5,5051.9763928,7554,5050,.5,.306,100,1,3302.018535,.09,5995600,53054,41372.47,121.99,7440,611.2,20.7,3706401,15176,648,1473,15,0,0,0,2106,8526.6,6683.2256875,8525,6680,1.6,.511,103,1.03,4339.27635029,.1,6274000,60391,47457.8,122.7,7401,716.6900000000001,20.66,4522807,10382,613,1477,17,0,0,0,2363,11904.7,10218.69859296,11904.3,10218,.4,.1128,101.3,1.04339,4641.78009618,.39,6523300,65001,52702,122.7,7401,762.16,21.95,5249377,11130,723,1477,18,0,0,0,2510,13837.2,15003.68509609026,13836.2,15002,1,.27432052,102,1.0642578,4300.15362458,.467,6857500,70646,57634.81,122.5,7401,821.0000000000001,23.47,5827486,11139,681,1597,18,0,0,0,2711,16600.354,20212.12382364,16598.6,20208,1.754,.6621,101.5,1.080221667,4014.711945,.9443,7125600,75078,61915,122.3,7401,829.2199999999999,25.17,6115121,10012,662,1417,18,0,0,0,2798,20627.899,24261.99239533157,20625.6,24258,2.299,.60105616,101.68712629,1.098446370734233,3950.641721,.6907,7629300.000000001,82221,68152,122.2,7401,867.98,26.12,6633095,3095,610,1417,18,0,0,0,2823,23176.777,27932.03829148314,23174.4,27928,2.377,.59810591,101.17708524,1.111376020833461,4334.158607,.9353,8422500,92584,76879,122,7401,837.0799999999999,33.42,7452800,3,610,5847,17,0,0,0,2933,25665.106,33749.20302609621,25663.6,33747,1.506,.33291415,101.78595141,1.131224656547938,5363.054,.9615,9414500,94900,86749,121.8,7401,875.78,34.31,,13600,637,1416,18,0,0,0,2981,30155.156,41595.92627186261,30148.1,41586,7.056,1.43890293,104.07182829,1.177286182136713,6989.70472017,.4977,10020200,82460,88005,121.3,7401.4,1010.3,36.41,,7370,719,1415,17,0,0,0,3170
新乡市,Xinxiang,35.3096399303368,113.933600467332,16480.5,9725.222127850684,16434,9702,35.3,8.092000000000001,100,1,2559.16255,.4,14894078,26198,25451.57,579.75,8249,1037,28.29,11295236,53056,1189,1363,20,0,0,0,4103,20031.8,12634.14480557904,20315.8,12610.18,36.21,10.9,102.1,1.021,2756.24614947,.38,16197714,28597.91135162,30409,589.02,8249,1070.04,30.48,13803174,63600,1081,1738,19,0,0,0,4224,22982.2,14688.79829487824,22917.072,14711.82,37.872,11.53,102.84339471,1.0500310599891,3158.12887571,.65,17660959.255,31138.46565013,33563.8275731,597.05,8552,1083.98,31.39,15611456,74009,817,1738,18,0,0,0,4195,26570.7,14735.31809244456,22897.4,14871.59,39.2,12.22,102,1.071031681188882,3607.104359,.5997,19179974,33696,37866.57,604.5699999999999,8666,1100,31.55,18419300,86988,840,1736,19,0,0,0,4208,29878.2,20199.72352,28998.4,18982.88,169.25,12.8,101.49210925,1.087012643974332,3722.222222,.5224,19750287,34340,40831,610.46,8666,1109.86,38.96,19272118,95072,1082,1738,18,0,0,0,4261,33612,23279.803896,32740,21559.17,175.12,13.52,101.7247068,1.105760424961817,3739.239596,.4377,21669705,37805,44237,615.9300000000001,8666,1149.16,40.15,20068608,102289,1240,1738,13,0,0,0,4391,37217.4,26351.897568,35906.3,25393,48.242,9.76,101.3333221,1.120503773080887,4144.90327,.3852,23577598,40962,48886,619.88,8754,1179.15,56.17,22409400,108748,1284,1768,10,0,0,0,4480,42388.9,30536.938528,44850.7,30515,53.076,10.72,102.08554119,1.143872340803993,5045.055519,.2815,25265535.04,43696,57828,622.54,8291,1191.84,43.19,,755317,1287,1767,10,0,0,0,4743,49039.7,36479,51895.8,35374,123.643,35.64,102.7,1.174756894005701,5589.46556968,.2553,29039051.017,46569.77839733,61149,624.58,8291,1216.6,45.44,,121560,1036,1768,11,1,0,0,4803
新余市,Xinyu,27.8235786977885,114.923534651396,6765.299999999999,4026.222728000001,6750,4000,15.3,4.06,100,1,3090.499672,.03,7792129,68155,35370,114.7247,3178,951.8399999999999,27.35,5998850,59383,378,531,10,0,1,0,3412,6809.9,4734.0875,6790,4700,19.9,5.4,102.3,1.023,3287.65912916,.05,8303232,72266,42230.54,115.1452,3178,1066.62,31,6677350,54503,416,531,9,0,1,0,3668,8573.700000000001,7145.290871599999,8550,7100,23.7,7.313,102.6,1.049598,3624.55661829,.16,8450700,73275,42640.85,115.6352,3178,1083.3,36.13,7041529,31414,519,636,12,0,1,0,3678,10595.1,9120.19825164,10568.8,9072,26.3,7.8463,101.4,1.064292372,4265.725514,.15,9002683,77730,47471.8,116.1771,3178,1119,36.15,7481948,34561,419,636,13,0,1,0,3678,13030.184,12113.4469258,13002.1,12063,28.084,8.099500000000001,100.9,1.073871003348,4004.791575,.2081,9467964,81354,51639,116.7927,3178,1132.92,38.33,8225962,36562,428,531,11,0,1,0,3720,15797.537,13981.97830669,15768,13921,29.537,9.180300000000001,101.5,1.08997906839822,3901.025575,.2058,10361912,88548,54602,117.5169,3178,1138.78,41.78,9212150,39868,449,531,10,0,1,0,3770,30033.831,27935.89310797999,30001.1,27863,32.731,10.7961,102,1.111778649766185,3819.23239,.1942,11085100,94165,59185,118.24,3178,1165.28,42.54,10350362,43500,626,636,9,0,1,0,3837,42969.606,44174.50011328,42931.5,44083,38.106,13.8272,101.85950688,1.132452250248958,4578.640601,.0664,8897700,86791,70453,118.8673,3178,1180.38,45.03,,47508,651,636,9,0,1,0,3888,50489.3,52325.56666099999,50444.3,52175,45,21.826,102.95391947,1.165903977757515,5332.09356003,.0488,9715800,81641,78069,119.5603,3178,1210.93,46.86,,50944,674,679,9,0,1,0,3924
无锡市,Wuxi,31.4988097326857,120.318583288106,58160.62400000001,88347.59073200001,57252.3,84482.70940000001,908.324,598.39,100,1,8064.763831,2.42,67998800,106183,51516.54,643.22,4627,5831,44.03,31691820,350480,3081,4040,65,2,1,0,17583,64634.447,101793.49315,63652.5,97492.2819,981.947,681.38,102.5,1.025,7741.40919751,2.41,74463700,115468,56883.07356,646.5486,4627,5935.5,45.17,35811153,400953,3144,4040,65,3,1,0,17958,70326.88499999999,111710.7871064,69935.7,110039.5397,391.185,269.852,102.1,1.046525,7447.73298821,2.4,79198500,122318,60581.57,648.4100000000001,4627,6081,46.02,39735188,333886,3261,4040,64,3,1,0,18333,76140.31599999999,125011.755432,75737.2,122985,403.116,329.94,102.2,1.06954855,,2.21,83589800,128756,68025.97,650.01,4627,6213,48.4,46107671,290438,3017,4040,55,3,1,46,18543,80824.643,137853.708372,80433.3,135625,391.343,357.83,101.8,1.0888004239,,2.2721,86813700,120434,76019,651.1,4627,6586.11,49.11,48885546,320219,3042,4040,49,3,1,46,18723,86299.485,154478.872342,85860.3,151891.4308,439.185,389.54,102.3,1.1138428336497,,2.19,93401600,128361,84931,652.9,4627,6679.389999999999,51.34,47936947,341273,3026,4040,42,3,1,46,18905,92288.825,173132.299676,91793.39999999999,170264,495.425,424.82,101.9,1.135005847489044,,2.1889,103130700,140306,89551,655.3,4627,7017,57.86,49660600,367545,3015,4040,42,3,1,46,19110,98762.81600000001,193878.539436,98176.8,190602,586.016,495.14,102.3,1.161110981981292,,2.4499,112029800,151260,90284,657.45,4627,7145,51.14,,369133,3179,4040,39,3,1,46,19316,102978.857,205147.769055,102369.3,201570,609.557,518.63,102.9,1.19478320045875,14252.14094,2.7373,118033200,158659,105759,659.15,4627,7262,51.48,,361977,2995,4040,34,4,1,46,19538
日照市,Rizhao,35.4228389984376,119.533415404565,24514.2,15142.568236,24259,14400,255.2,114.97,100,1,4145.645646,.24,10647100,37877,36958.81,,5348,1627.6,36.35,8806891,38000,510,968,34,0,0,0,3658,28245.067,18325.43255625,27952.5,17468,292.567,135.8309,102.4,1.024,4522.28163993,.24,11711900,41435,39931.27,283.43,5348,1707.01,37.77,9223776,42122,545,968,34,0,0,0,3887,31534.865,21008.95885976,31254,20240,280.865,124.1618,102.1,1.045504,5048.47645429,.38,12883000,45325,43946,285.05,5359,1792,38.95,10690473,52991,552,1068,35,0,0,0,4007,34532.034,23795.418408,34262,23010,270.034,127.86,101.8,1.064323072,4811.455596,.3103,13862200,48461,49850.05,287.05,5359,1981,40.99,12347482,57301,625,1068,,0,0,0,4155,36900.206,26415.46006028,36630,25680,270.206,118.0817,101.2,1.077094948864,4792.505523,.3268,13962600,48561,54734,288,5359,2054.4,42.92,14078065,57849,625,1068,35,0,0,0,4323,40818.226,30783.21345397,40535.5,29962,282.726,123.6339,101.9,1.097559752892416,5002.740503,.2928,15119100,52305,59095,290.11,5358.5737,1794,44.58,15977773,57858,546,968,27,0,0,0,4663,44975.3,35350.4043168,44699.3,34539,276,120.176,101.1,1.109632910174233,5473.521664,.2545,16770600,57655,63418,291.65,5371.2697,1871.4,44.28,16911876,62610,798,968,25,0,0,0,4780,49342.95,37610.5495722,49061.3,36831,281.65,117.803,102.4,1.136264100018414,7191.19346242,.2242,17900300,61231,71548,293.03,5371.2697,1926.41,44.12,,21202,906,968,20,0,0,0,4710,54043,42560,53759.6,41656,283.4,130.7036,102.4,1.163534438418856,7969.66301985,.2598,19493800,66313,79686,294.9,5371,1984.8,48.73,,18692,1054,1068,19,0,0,0,4839
昆明市,Kunming,24.873998150044,102.852448365004,41025,36624.7224,40021,34700,1004,298,100,1,4552.887268,3.76,25282250,38831,41645.22,648.64,21012,3263,48.4,22755286,127443,4656,7727,82,1,3,0,13572,47665.8,42665.8975,46528.4,40530,1137.4,338.36,103.1,1.031,5405.03432494,3.85,30350210,46256,45093.52,653.3,21012,3916,48.93,23459100,158800,4681,7975,78,1,3,0,15564,56021.90000000001,51587.8596,54790.6,49092,1231.3,403,103.9,1.071209,5614.55732668,4.63,34459910,52094,51100,657.9,21012,3454,50.03,29315032,179800,4877,7985,78,1,3,0,14764,62686.6,61477,61494.5,59038.30839999999,1192.1,397,103.1,1.104416479,6067,3.68,37470680,56236,58153.4,662.6,21012,7238,53.67,31381657,223714,5462,8095,,1,3,31,15951,69114,72347,67969.10000000001,69606.504,1144.9,440,102.4,1.130922474496,7178,3.9679,40089420,59656,62033,667.7,21012.5375,4901.58,55.28,34978793,226146,5645,7651,,1,3,35,16077,101136.188,107353.09830604,99901.5,104151.4114,1234.688,482.0148,101.7,1.150148156562432,6851,3.8866,43420530,64156,68375,672.8,21013,6071,56.73,39200747,73996,6262,8037,,2,3,35,16815,133425.19,160867.4921478,132084.5,157274.0424,1340.69,532.221,100.5,1.155898897345244,8197,3.5881,48576400,71906,76350,678.3,21013,3173.11,59.95,42179420,80133,6159,8257,,2,3,59,16933,160534.316,218008.4102788,159112.3,213481.6984,1422.016,684.062,101.7,1.175549178600114,11085,3.7425,52068979,76387,80253,685,21013,3394.43,56.59,,85013,6164,8037,,2,3,59,17048,186440.3,273361,184945.9,267324.8125,1494.4,875,102.3,1.202586809707916,12123,2.9853,64758792.00000001,93853,94063,695,21013,3993,63.73,,64861,6154,8137,,2,3,59,17258
昭通市,Zhaotong,27.3440838602468,103.723511771968,7087.9,2636.4588,7087,2630,.9,1,100,1,2620.37037,.24,4650326,8877,34013.63,525.85,22656.65,356,32.38,4873910,400,162,580,13,0,0,0,502,10147.1,4101.7485625,10146.1,4100,1,.277,102.7,1.027,2935.66322478,.25,5555967,10528,37251.45,529.6,22621,376,30.89,4217858,900,192,581,20,0,0,0,592,13759.779,5828.1932,13757.9,5822,1.879,1,102.7,1.054729,2955.05617978,.25,6347000,11933,40900,534.2,22440,383,29.82,5484963,1482,218,581,26,0,0,0,605,10868.1,8783,10866.8,8525.002399999999,1.3,42,101.6,1.071604664,2562.980585411445,.228,6703372,12480,44210.23,538.7,22440,390,30.75,5504760,,194,608,,0,0,0,721,20657.9,11330,20656.8,11329,1.1,,101.2,1.084463919968,2793.730706554141,.2631,7083761,13097,53071,543,22439.7902,410.0799999999999,36.65,6129810,477,194,581,,0,0,0,765,24892.451,14708.95781619,24891.1,14706,1.351,.4453,102,1.10615319836736,2667.654293602475,.2779,7655300,14040,59674,547.5,22440,420,38.41,7393000,84,464,581,,0,0,0,918,32785.916,21313,32784.3,23461.2482,1.616,.5967,100.3,1.109471657962462,2591.406490038052,.2923,8324500,15119,71849,553.7,22440,454,39.59,8973593,442,521,581,,0,0,0,1161,38213.33500000001,31189.31774606,38211.3,31183.3826,2.035,.8969,100.9,1.119456902884125,,.3209,8895404,15987,84707,559.1,22440,503,37,,424,1165,581,,0,0,0,1202,43861.90000000001,36427,43859.9,36420.1015,2,1,102.7,1.149682239261996,,.1635,11942017,21255,88764,564.5699999999999,22440,533,45.04,,70,299,1533,,0,0,0,1286
晋中市,jinzhong,37.6928394097597,112.759594755659,15819.4,13534.0565436,15571,13060,248.4,73.39700000000001,100,1,2905.811493,.3,8902376,27300,37720.54,326.1145,16392,616,36.88,5802105,6507,394,902,34,0,0,0,1543,24806.721,21604.917825,24501.4,20960,305.321,102.1652,102.1982,1.021982,3897.77794781,.25,9865596,30093,42099,327.2007,16392,769,36.93,7441063,12004,407,1180,33,0,0,0,1654,33232.556,30129.525301,32881.8,29398,350.756,118.1175,102.96443,1.0522779410026,3783.22298289,.31,10222281,31015,45458,328.648,16392,1010,38.15,9459249,18406,407,1327,33,1,0,0,1709,40239.572,40817.40382044,40039,40170,200.572,105.3923,101.57338346,1.068834308079563,4174.5936913,.2256,10413000,31434,47234,332.1625,16392,850,42.63,11060072,35303,1330,513,,1,0,0,2229,50395.62400000001,51350.01877804,50184.8,50656,210.824,111.4281,101.12975,1.080909463675092,4132.698045,.1699,10461155,31434,50432,332.7128,16392,964.9499999999999,46.09,13124532,37077,390,1330,,2,0,0,2354,63578.27499999999,65880.41009381,63351.2,65075,227.075,121.2547,101.22539047,1.094154825232295,3875.837354,.1472,10911041,32646,52558,333.7078,16392,1095,47.12,13758360,37870,390,1330,,2,0,0,2460,79520.955,82446.99004262,79276.3,81560,244.655,131.3709,101.72832175,1.113065341055459,4371.706101,.1691,12849233,38274,60094,334.7796,16392,1236.51,60.09,6412339,38595,390,1330,,2,0,0,22842,98155.95499999999,101371.6550291,97893.89999999999,100433,262.055,141.8465,101.43744983,1.12906509690825,5857.8082469,.1341,14476038.84,42910,65640,335.8313,16392,1450.86,44.6,,34882,592,1330,,2,0,0,5649,116183.209,118843.9055721,115905.7,117801,277.509,151.1786,102.35761417,1.155684095621483,5858.4107398,.14,14476160,42759,67511,337.5001,16392,1503.08,47.28,,20831,687,1330,,2,0,0,6334
晋城市,Jincheng,35.4962845864725,112.858578231328,11737.7,9084.122789200001,11670,8910,67.7,26.959,100,1,3393.430259,.19,8949773,39205,48705.48,226.6735,9425,500,30.21,5041207,21799,346,1453,28,1,0,0,1446,16965.125,15276.09934375,16869.4,14988,95.72499999999999,45.6395,102.43288,1.0243288,3641.18939385,.19,10128134.181,44257.06503616,54163,225.1875,9425,529,31.23,6549537,25775,566,1897,26,1,0,0,2515,21770.548,19865.5595588,21662.5,19532,108.048,53.859,103.36041,1.05875044742808,4210.48344398,.4,10319142.723,44940.22658072,54500,223.7744,9425,549,33.35,8376976,28400,507,1453,26,1,0,0,2597,27161.552,24238.92446648,27150,24200,11.552,6.3366,101.97608092,1.079672213010121,4520.09119521,.2644,10358203,44943,55262,223.1134,9425,572,37.02,9747818,28429,459,1453,23,1,0,0,2642,32453.543,29495.8486196,32441.4,29454,12.143,6.719,100.76155,1.0878944567483,4110.944524,.2539,10402416,44994,54218,222.0174,9425,576.6700000000001,39.87,11501476,25675,459,1453,20,1,0,0,2642,38865.61900000001,35671.42336508,38852.8,35624,12.819,7.1396,100.68889463,1.095388903240906,4588.607021,.2177,10493406.32,45271,54982,221.2068,9425,584,42.37,11503657,20012,459,1453,18,1,0,0,2470,48496.906,44459.89838588,48483.2,44408,13.706,7.6866,100.55646809,1.101484392948843,4622.971391,.2225,11515357.38,49487,62008,220.1806,9425,604,69.40000000000001,4307064,20048,471,1483,18,1,0,0,1868,60813.214,55733.62729874,60797,55679,16.214,8.255100000000001,102.15625184,1.125235170439115,5085.11315203,.2169,13518530,57819,66368,219.6874,9425,616,43.26,,28442,534,1453,17,1,0,0,1901,73285.01400000001,66882.62912945,73267.60000000001,66821,17.414,8.9337,102.56396117,1.154085763280357,5354.76807459,.2804,13551560,57714,68461,219.5468,9425,744,42.18,,31183,595,1453,17,1,0,0,2067
